9685,328,195,77,10129,208,336,68,16159,294,710,743,11,46,5,451907
10806,94,191,246,10178,211,305,162,16501,405,650,273,11,46,5,464867
9669,336,246,88,9260,184,223,33,14055,241,324,354,11,46,5,476867
9412,297,156,88,9269,290,175,170,15625,545,253,583,11,46,5,489853
10635,70,223,221,9903,116,67,232,15505,367,802,272,11,46,5,502837
9722,331,262,39,9089,205,160,100,13676,667,601,651,11,46,5,515821
10350,264,301,207,9504,192,402,223,14748,398,503,396,11,46,5,528810
10920,340,139,154,10238,201,176,69,13492,622,459,663,11,46,5,540802
9980,196,74,210,10314,151,366,137,14802,377,467,404,11,46,5,550793
11618,298,98,85,10726,266,164,126,12428,647,135,379,11,46,5,563762
12003,280,324,155,10186,177,116,182,12047,525,642,334,11,46,5,575750
11136,294,185,71,11522,148,297,59,13234,298,638,555,11,46,5,588737
12946,182,230,86,11873,194,355,212,10843,488,455,410,11,46,5,601723
12493,235,238,25,12195,270,307,28,11638,484,403,479,11,46,5,614709
12474,300,122,119,13213,127,251,156,11717,509,628,266,11,46,5,627696
14278,119,160,216,13057,276,169,14,9327,86,465,184,11,46,5,639683
13617,273,234,104,13803,318,203,116,10601,528,293,471,11,46,5,652670
14128,276,384,279,14921,139,182,165,10900,414,850,96,11,46,5,665657
15089,315,208,56,14480,253,190,45,9475,551,515,370,11,46,5,678644
14348,62,302,258,15322,111,376,238,11162,407,527,216,11,46,5,691643
15581,371,174,7,16017,256,130,101,10049,627,143,547,11,46,5,704631
15851,258,168,87,15537,166,182,223,10201,584,458,291,11,46,5,716618
14730,159,224,220,16694,153,285,25,12625,355,537,429,11,46,5,729609
16134,293,199,115,16698,226,168,87,10939,641,335,521,11,46,5,742596
15580,64,364,216,16190,69,289,222,11999,209,792,194,11,46,5,755575
14852,331,123,106,16534,262,219,84,13385,569,528,269,11,46,5,768551
15994,85,141,198,16019,224,294,188,11784,48,570,170,11,46,5,781538
14540,272,234,108,15890,379,206,108,14069,630,310,454,11,46,5,793535
13856,427,281,100,16041,184,224,203,14540,589,610,349,11,46,5,806526
14348,140,177,137,14722,178,249,38,13138,143,680,484,11,46,5,819509
13113,318,378,254,14392,211,220,97,15020,568,308,423,11,46,5,841487
12980,241,221,47,13003,278,178,123,15187,244,977,668,11,46,5,854473
11103,145,88,134,13143,255,315,120,14784,559,603,417,11,46,5,867459
11942,438,121,141,12572,205,210,101,16737,209,502,509,11,46,5,880447
11359,138,257,174,11317,248,184,169,14930,790,261,404,11,46,5,893437
10043,274,297,35,11589,273,214,34,14965,560,573,237,11,46,5,906410
11035,149,248,151,10937,135,316,207,16301,400,674,593,11,46,5,918412
9903,228,276,68,10178,257,298,60,14072,448,471,416,11,46,5,931385
9484,359,111,103,10265,118,267,192,15162,482,575,634,11,46,5,944371
10886,130,156,222,9086,205,217,34,15345,486,626,227,11,46,5,957371
9795,258,252,86,9071,257,132,152,12451,198,471,302,11,46,5,970354
10169,284,406,293,9526,198,171,231,13702,630,283,461,11,46,5,982342
10926,265,214,85,8629,283,247,50,13596,578,794,67,11,46,6,1313
11451,348,172,102,9067,70,359,196,12866,289,490,137,11,46,6,14309
10353,212,120,152,9313,310,216,76,11182,770,322,498,11,46,6,27295
12222,338,144,108,8629,246,183,235,10819,728,542,377,11,46,6,43280
12413,217,347,236,10052,226,255,112,12522,446,532,469,11,46,6,56257
11908,299,143,131,9907,62,282,159,10037,593,354,436,11,46,6,69253
13590,181,212,150,11053,227,208,74,10469,239,915,439,11,46,6,82243
13188,347,261,4,11205,287,360,130,11119,628,455,379,11,46,6,94231
